"","acoustic_project_code","station_name","deploy_latitude","deploy_longitude"
"449","leopold","bh-3",51.2360813,3.447171
"450","leopold","bh-4",51.236215,3.448422
"451","leopold","bh-5",51.2503008,3.5426743
"452","leopold","bh-6",51.2505032,3.544414
"453","leopold","bh-7",51.254878,3.5621802
"454","leopold","bh-8",51.265006,3.5547265
"455","leopold","bh-9",51.2591163,3.5789817
"456","leopold","bh-10",51.2596961,3.5803334
"457","leopold","bh-11",51.2627862,3.616269
"458","leopold","bh-12",51.2655417,3.6551322
"459","leopold","bh-13",51.2664563,3.6608905
"460","leopold","bh-14",51.2608054,3.669741
"461","leopold","bh-15",51.2602787,3.6691424
"462","leopold","bh-16",51.267064,3.6744238
"463","leopold","bh-17",51.2677225,3.6813137
"464","leopold","bh-18",51.2666113,3.6865616
"465","leopold","bh-19",51.2642437,3.6884158
"466","leopold","bh-20",51.269978,3.7030611
"467","leopold","bh-21",51.2701028,3.7117942
"468","leopold","bh-22",51.2684107,3.718915
"469","leopold","bh-23",51.2672795,3.7173234
"470","leopold","bh-24",51.2719206,3.7319803
"471","leopold","bh-25",51.268928,3.7506924
"472","leopold","bh-26",51.2561385,3.7845731
"473","leopold","bh-27",51.2574609,3.7637309
"474","leopold","bh-28",51.2453761,3.7607615
"475","leopold","bh-29",51.2396828,3.7474982
"476","leopold","bh-30",51.2448946,3.7481689
"477","leopold","bh-31",51.2903715,3.7164467
"478","leopold","bh-32",51.3081908,3.7241653
"479","leopold","bh-33",51.3134659,3.7321561
"480","leopold","bh-34",51.3223102,3.7290976
"481","leopold","bh-35",51.3290957,3.7541909
"482","leopold","bh-36",51.3346375,3.7682595
"483","leopold","bh-37",51.3389165,3.7679196
"484","life4fish","amp_2017_1",50.53441478,5.29621659
"485","life4fish","amp_2017_2",50.53409801,5.296016623
"486","life4fish","amp_2017_3",50.53399485,5.296263513
"487","life4fish","amp_2017_4",50.53380366,5.296184266
"488","life4fish","amp_2017_5",50.5335701,5.296076378
"489","life4fish","amp_2017_6",50.53334208,5.295971291
"490","life4fish","amp_2017_7",50.53310924,5.295848023
"491","life4fish","amp_2017_8",50.53231286,5.295921703
"492","life4fish","amp_2017_9",50.54118273,5.32768533
"493","life4fish","and_2017",50.493017,5.074436
"494","life4fish","and_2017_1",50.49395642,5.070476812
"495","life4fish","and_2017_2",50.49306571,5.069881618
"496","life4fish","and_2017_3",50.49283778,5.069837822
"497","life4fish","and_2017_4",50.49261279,5.069802926
"498","life4fish","and_2017_5",50.49240683,5.06976097
"499","life4fish","and_2017_6",50.49216855,5.069694099
"500","life4fish","and_2017_7",50.49191847,5.069650004
"501","life4fish","and_2017_8",50.49379254,5.096080728
"502","life4fish","gm_2017",50.465997,4.898861
"503","life4fish","gm_2017_1",50.46704382,4.89925783
"504","life4fish","gm_2017_2",50.46683041,4.899184168
"505","life4fish","gm_2017_3",50.46658338,4.899094741
"506","life4fish","gm_2017_4",50.46638589,4.898989579
"507","life4fish","gm_2017_5",50.46619886,4.898794843
"508","life4fish","gm_2017_6",50.46623552,4.898478805
"509","life4fish","gm_2017_7",50.46612397,4.898865132
"510","life4fish","gm_2017_8",50.46611505,4.898739338
"511","life4fish","gm_2017_9",50.46610781,4.898605127
"512","life4fish","gm_2017_10",50.46601917,4.899018111
"513","life4fish","gm_2017_11",50.46599277,4.898941482
"514","life4fish","gm_2017_12",50.46599179,4.898708571
"515","life4fish","gm_2017_13",50.46588563,4.898965461
"516","life4fish","gm_2017_14",50.46591982,4.898841055
"517","life4fish","gm_2017_15",50.46573658,4.89908347
"518","life4fish","gm_2017_16",50.47858264,4.939950417
"519","life4fish","ir_2017_1",50.59320397,5.460860688
"520","life4fish","ir_2017_2",50.59305879,5.46090541
"521","life4fish","ir_2017_3",50.59291214,5.460950119
"522","life4fish","ir_2017_4",50.59282067,5.461319949
"523","life4fish","ir_2017_5",50.59247385,5.460754501
"524","life4fish","ir_2017_6",50.59224875,5.460818726
"525","life4fish","ir_2017_7",50.59203261,5.460874086
"526","life4fish","ir_2017_8",50.59177524,5.460913967
"527","life4fish","ir_2017_9",50.59102951,5.46369006
"528","life4fish","ir_2017_10",50.59269224,5.460571763
"529","life4fish","ir_2017_11",50.59261296,5.460451157
"530","life4fish","ir_2017_12",50.59265081,5.46025749
"531","life4fish","ir_2017_13",50.59257254,5.460159462
"532","life4fish","ir_2017_14",50.59262119,5.460014993
"533","life4fish","ir_2017_15",50.59257601,5.45990487
"534","life4fish","ir_2017_16",50.59260806,5.459763639
"535","life4fish","ir_2017_17",50.59252039,5.459651957
"536","life4fish","ir_2017_18",50.59259487,5.459553704
"537","life4fish","ir_2017_19",50.59251505,5.459474982
"538","life4fish","ir_2017_20",50.59256111,5.45935139
"539","life4fish","ir_2017_21",50.59701569,5.480009455
"540","life4fish","lix_2017_1",50.75133434,5.685585227
"541","life4fish","lix_2017_2",50.7513928,5.685951435
"542","life4fish","lix_2017_3",50.75144734,5.686330833
