animal_project_code,station_name,latitude,longitude,habitat_type,habitat_type2,habitat_type3
dak_superpolder,rel_suderpolder2,53.15667,5.505508,freshwater,freshwater,freshwater
dak_superpolder,rel_suderpolder3,53.165164,5.552409,freshwater,freshwater,freshwater
dak_superpolder,rel_suderpolder1,53.16028,5.535724,freshwater,freshwater,freshwater
dak_markiezaatsmeer,Markiezaat-5,51.483798,4.228604,freshwater,freshwater,freshwater
dak_markiezaatsmeer,Markiezaat-7,51.509707,4.176225,freshwater,freshwater,freshwater
dak_markiezaatsmeer,Markiezaat-6,51.513097,4.218352,freshwater,freshwater,freshwater
dak_markiezaatsmeer,Markiezaat-3,51.45897,4.229676,freshwater,freshwater,freshwater
dak_markiezaatsmeer,Markiezaat-4,51.462835,4.225819,freshwater,freshwater,freshwater
dak_markiezaatsmeer,Markiezaat-1,51.40197,4.235801,freshwater,freshwater,freshwater
dak_markiezaatsmeer,s-12,51.30305,4.28731,tidal_brackish,tidal_brackish,tidal
dak_markiezaatsmeer,s-11,51.29646,4.2857,tidal_brackish,tidal_brackish,tidal
dak_markiezaatsmeer,ak-41,51.239128,4.397469,tidal_brackish,tidal_brackish,tidal
dak_markiezaatsmeer,s-10a,51.235423,4.396673,tidal_brackish,tidal_brackish,tidal
dak_markiezaatsmeer,ws-55,51.40221,4.02998,tidal_brackish,tidal_brackish,tidal
dak_markiezaatsmeer,ws-18,51.3482621,3.8147323,tidal_brackish,tidal_brackish,tidal
dak_markiezaatsmeer,ws-2C,51.4169613,3.7188079,tidal_brackish,tidal_brackish,tidal
dak_markiezaatsmeer,ws-53,51.41651283,4.027360624,tidal_brackish,tidal_brackish,tidal
dak_markiezaatsmeer,bpns-middelkerkebank,51.3033,2.7125,marine,marine,marine
dak_markiezaatsmeer,ws-42A,51.42251303,4.032860596,tidal_brackish,tidal_brackish,tidal
dak_markiezaatsmeer,bpns-Nauticaena,51.30056,2.869061,marine,marine,marine
dak_markiezaatsmeer,Markiezaat-8,51.511428,4.170344,tidal_brackish,tidal_brackish,tidal
dak_markiezaatsmeer,ws-W6,51.41834,3.453181,tidal_brackish,tidal_brackish,tidal
dak_markiezaatsmeer,ws-16,51.3544901,3.795027,tidal_brackish,tidal_brackish,tidal
dak_markiezaatsmeer,ws-14,51.3601518,3.7798113,tidal_brackish,tidal_brackish,tidal
dak_markiezaatsmeer,ws-12A,51.3648799,3.765539,tidal_brackish,tidal_brackish,tidal
dak_markiezaatsmeer,ws-6,51.3913098,3.7161726,tidal_brackish,tidal_brackish,tidal
dak_markiezaatsmeer,ws-11,51.41163,3.70746,tidal_brackish,tidal_brackish,tidal
dak_markiezaatsmeer,ws-4,51.3970414,3.7153436,tidal_brackish,tidal_brackish,tidal
dak_markiezaatsmeer,ws-PVTSS,51.4018055,3.7089134,tidal_brackish,tidal_brackish,tidal
dak_markiezaatsmeer,Markiezaat-2,51.438485,4.234839,freshwater,freshwater,freshwater
dak_markiezaatsmeer,ws-F42,51.42786,4.03246,tidal_brackish,tidal_brackish,tidal
dak_markiezaatsmeer,ws-53A,51.411167,4.029233,tidal_brackish,tidal_brackish,tidal
dak_markiezaatsmeer,bpns-G-88,51.46078,3.052711,marine,marine,marine
dak_markiezaatsmeer,ws-borssele,51.43161667,3.704916667,tidal_brackish,tidal_brackish,tidal
dak_markiezaatsmeer,bpns-nieuwpoortbank,51.1695,2.6015,marine,marine,marine
dak_markiezaatsmeer,s-STD3,51.330504,4.270161,tidal_brackish,tidal_brackish,tidal
dak_markiezaatsmeer,ws-DL7,51.471342,3.475013,tidal_brackish,tidal_brackish,tidal
